id,name,taicol_taxon_id,is_valid,scientific_name,taxon_status,note,
555,白腹鶇,t0048262,T,Turdus pallidus,accepted,ok,
556,鼠類,,F,,,no-match,
557,頭烏線,t0086236,T,Schoeniparus brunneus brunneus,accepted,ok,
558,灰林鴿,t0079032,T,Columba pulchricollis,accepted,ok,
559,鬼鼠,t0076207,T,Bandicota indica,accepted,ok,
560,不明,,F,,,no-match,
561,台灣水鹿,t0086217,T,Rusa unicolor swinhoii,accepted,ok,
562,大冠鷲,t0032992,T,Spilornis cheela hoya,accepted,ok,
563,白尾鴝,t0085957,T,Myiomela leucura montium,accepted,ok,
564,臺灣野豬,t0086310,T,Sus scrofa taivanus,accepted,ok,
565,森鼠,,F,,,no-match,
566,不知名鳥類,,F,,,no-match,
567,無動物,,F,,,no-match,
568,不知名蝙蝠,,F,,,no-match,
569,鳥\(未知\),,F,,,no-match,
570,貓頭鷹,,F,,,no-match,
571,家畜,,F,,,no-match,
572,高山小黃鼠狼,,F,,,no-match,
573,大赤鼯鼠,t0086086,T,Petaurista grandis,accepted,ok,
574,小彎嘴畫眉,t0036478,T,Pomatorhinus musicus,accepted,ok,
575,車子,,F,,,no-match,
576,鳥（未知）,,F,,,no-match,
577,白眉林鴝,t0099075,T,Tarsiger indicus,accepted,ok,
578,故障,,F,,,no-match,
579,台灣藍鵲,t0048427,T,Urocissa caerulea,accepted,ok,
580,紅嘴黑鵯,t0085779,T,Hypsipetes leucocephalus leucocephalus,accepted,ok,
581,鳳頭蒼鷹,t0057537,T,Accipiter trivirgatus formosae,accepted,ok,
582,金背鳩,t0086299,T,Streptopelia orientalis orientalis,accepted,ok,
583,深山鶯,t0029749,T,Horornis acanthizoides concolor,accepted,ok,
584,研究人員,,F,,,ignored,
585,小彎嘴,t0036478,T,Pomatorhinus musicus,accepted,ok,
586,白腰鵲鴝,t0079275,T,Copsychus malabaricus,accepted,ok,
587,斑頸鳩,t0102334,T,Spilopelia chinensis chinensis,accepted,ok,
588,珠頸斑鳩,t0086298,T,Spilopelia chinensis,accepted,ok,
589,樹鵲,t0085559,T,Dendrocitta formosae formosae,accepted,ok,
590,條紋松鼠,t0086327,T,Tamiops maritimus,accepted,ok,
591,夜鷺,t0085989,T,Nycticorax nycticorax nycticorax,accepted,ok,
592,蟲,,F,,,no-match,
593,鼩鼱,,F,,,no-match,
594,赤腹鶇,t0086400,T,Turdus chrysolaus chrysolaus,accepted,ok,
